Timestamp,CAN_ID,ECU,RPM,Speed,Engine_Temp,Fuel_Level
2025-05-06 8:00:00,0x102,ECM,2605,12,82,29
2025-05-06 8:00:09,0x101,ECM,2856,27,74,90
2025-05-06 8:00:14,0x201,TCM,3704,93,96,43
2025-05-06 8:00:03,0x301,TCM,2375,114,102,9
2025-05-06 8:00:04,0x201,ECM,2492,135,72,39
2025-05-06 8:00:10,0x102,ECM,1267,3,91,28
2025-05-06 8:00:42,0x201,TCM,3817,48,85,78
2025-05-06 8:00:28,0x301,BCM,2440,99,87,68
2025-05-06 8:00:16,0x101,ECM,2675,75,70,33
2025-05-06 8:00:54,0x202,TCM,2398,128,79,72
2025-05-06 8:00:40,0x101,ECM,4349,146,90,55
2025-05-06 8:00:55,0x301,TCM,4246,60,93,16
2025-05-06 8:01:12,0x202,ECM,3731,47,110,57
2025-05-06 8:00:13,0x101,TCM,4478,100,95,42
2025-05-06 8:01:24,0x202,TCM,3144,78,110,51
2025-05-06 8:01:30,0x102,ECM,2161,121,75,93
2025-05-06 8:01:20,0x201,BCM,2230,47,85,22
2025-05-06 8:01:42,0x102,BCM,1302,106,92,94
2025-05-06 8:02:06,0x301,BCM,2241,106,70,16
2025-05-06 8:01:35,0x202,ECM,4297,101,104,11
2025-05-06 8:01:40,0x102,BCM,4188,28,96,9
2025-05-06 8:01:24,0x101,BCM,697,130,90,86
2025-05-06 8:02:56,0x202,TCM,2965,78,99,66
2025-05-06 8:02:41,0x301,BCM,709,64,76,36
2025-05-06 8:01:12,0x102,TCM,4179,127,93,79
2025-05-06 8:02:30,0x201,ECM,3729,120,104,37
2025-05-06 8:02:10,0x201,TCM,3688,33,91,90
2025-05-06 8:00:54,0x201,BCM,3301,0,110,40
2025-05-06 8:02:48,0x202,ECM,2451,35,72,60
2025-05-06 8:01:56,0x102,TCM,697,13,74,48
2025-05-06 8:05:00,0x101,ECM,1445,110,76,38
2025-05-06 8:04:08,0x102,ECM,736,103,101,93
2025-05-06 8:02:40,0x202,BCM,3100,16,80,98
2025-05-06 8:02:12,0x301,ECM,1881,91,81,71
2025-05-06 8:02:16,0x202,ECM,2580,10,84,37
2025-05-06 8:05:15,0x101,BCM,974,19,70,31
2025-05-06 8:04:12,0x101,ECM,2131,18,96,50
2025-05-06 8:06:10,0x201,BCM,3467,133,88,57
2025-05-06 8:01:16,0x101,ECM,4154,72,108,47
2025-05-06 8:05:51,0x201,BCM,4423,86,78,72
2025-05-06 8:06:00,0x301,ECM,2616,105,71,45
2025-05-06 8:06:09,0x301,TCM,1609,79,71,43
2025-05-06 8:05:36,0x102,TCM,3767,81,108,39
2025-05-06 8:05:01,0x201,TCM,3763,101,106,81
2025-05-06 8:06:36,0x102,ECM,3778,44,105,25
2025-05-06 8:06:45,0x101,ECM,938,115,99,85
2025-05-06 8:05:22,0x101,ECM,4187,60,93,24
2025-05-06 8:03:08,0x102,ECM,1439,40,104,27
2025-05-06 8:01:36,0x102,BCM,4182,60,91,86
2025-05-06 8:05:43,0x202,TCM,3008,133,73,97
2025-05-06 8:04:10,0x102,TCM,3931,102,77,81
2025-05-06 8:03:24,0x102,TCM,550,80,93,88
2025-05-06 8:04:20,0x301,ECM,4231,144,109,38
2025-05-06 8:07:04,0x102,TCM,3030,22,86,39
2025-05-06 8:02:42,0x201,TCM,4147,68,96,34
2025-05-06 8:03:40,0x202,ECM,3172,64,80,62
2025-05-06 8:09:20,0x301,TCM,2681,132,110,94
2025-05-06 8:09:30,0x102,ECM,1211,95,91,75
2025-05-06 8:09:40,0x102,BCM,3499,126,70,75
2025-05-06 8:08:51,0x202,TCM,2616,109,109,81
2025-05-06 8:08:00,0x201,BCM,1873,153,83,10
2025-05-06 8:08:08,0x201,BCM,3958,12,74,57
2025-05-06 8:05:10,0x202,BCM,822,128,106,62
2025-05-06 8:05:15,0x301,TCM,2038,149,95,53
2025-05-06 8:02:08,0x201,TCM,1789,148,71,97
2025-05-06 8:02:10,0x201,ECM,994,84,78,55
2025-05-06 8:09:54,0x202,ECM,2679,66,101,20
2025-05-06 8:01:07,0x202,TCM,2465,12,107,87
2025-05-06 8:01:08,0x202,ECM,1362,44,92,15
2025-05-06 8:05:45,0x201,ECM,2493,50,109,38
2025-05-06 8:04:40,0x102,TCM,2679,70,87,94
2025-05-06 8:10:39,0x102,ECM,1100,126,90,52
2025-05-06 8:01:12,0x101,BCM,578,23,91,53
2025-05-06 8:01:13,0x301,BCM,3557,26,81,85
2025-05-06 8:06:10,0x201,ECM,4479,95,92,14
2025-05-06 8:03:45,0x201,BCM,3648,50,75,12
2025-05-06 8:08:52,0x201,ECM,798,117,83,66
2025-05-06 8:05:08,0x101,BCM,3715,96,79,99
2025-05-06 8:01:18,0x101,TCM,1316,20,102,79
2025-05-06 8:03:57,0x202,BCM,1397,64,98,37
2025-05-06 8:04:00,0x301,BCM,4500,96,104,95
2025-05-06 8:08:06,0x101,TCM,2371,103,71,92
2025-05-06 8:12:18,0x101,ECM,2480,60,108,51
2025-05-06 8:13:50,0x201,TCM,1701,114,73,59
2025-05-06 8:07:00,0x101,TCM,2545,150,73,81
2025-05-06 8:04:15,0x301,BCM,3250,30,72,16
2025-05-06 8:11:28,0x202,TCM,2854,141,108,72
2025-05-06 8:11:36,0x102,BCM,2728,52,86,99
2025-05-06 8:01:28,0x101,ECM,4460,68,82,25
2025-05-06 8:02:58,0x301,BCM,1130,15,74,74
2025-05-06 8:12:00,0x201,TCM,2587,56,105,57
2025-05-06 8:03:02,0x101,ECM,2381,60,94,64
2025-05-06 8:07:40,0x101,BCM,2979,3,98,33
2025-05-06 8:12:24,0x202,TCM,2747,107,97,8
2025-05-06 8:10:58,0x102,BCM,946,83,108,88
2025-05-06 8:01:35,0x301,ECM,1806,40,109,68
2025-05-06 8:06:24,0x202,TCM,2845,107,70,57
2025-05-06 8:11:19,0x102,BCM,629,52,101,84
2025-05-06 8:11:26,0x201,TCM,3667,119,90,42
2025-05-06 8:08:15,0x301,TCM,610,100,71,41
2025-05-06 8:15:00,0x301,BCM,1668,35,99,51
2025-05-06 8:16:50,0x301,BCM,574,112,92,20
2025-05-06 8:17:00,0x301,TCM,1913,87,101,26
2025-05-06 8:10:18,0x102,BCM,2072,3,99,38
2025-05-06 8:12:08,0x101,ECM,2408,34,83,77
2025-05-06 8:03:30,0x102,BCM,1970,102,85,86
2025-05-06 8:05:18,0x201,BCM,3988,140,84,41
2025-05-06 8:14:16,0x102,BCM,1728,14,104,30
2025-05-06 8:18:00,0x202,ECM,1274,72,104,25
2025-05-06 8:03:38,0x202,TCM,1000,131,107,21
2025-05-06 8:12:50,0x102,TCM,3625,2,86,39
2025-05-06 8:05:33,0x101,TCM,1278,87,78,79
2025-05-06 8:07:28,0x101,TCM,2030,6,107,24
2025-05-06 8:13:11,0x301,ECM,2578,111,93,61
2025-05-06 8:15:12,0x301,BCM,2119,7,85,47
2025-05-06 8:07:40,0x202,TCM,1072,107,85,66
2025-05-06 8:09:40,0x202,BCM,1568,144,84,55
2025-05-06 8:05:51,0x301,TCM,4426,134,81,85
2025-05-06 8:09:50,0x102,TCM,4281,121,72,67
2025-05-06 8:09:55,0x202,BCM,4090,140,84,91
2025-05-06 8:18:00,0x301,TCM,983,0,97,34
2025-05-06 8:08:04,0x102,TCM,3157,82,106,49
2025-05-06 8:06:06,0x301,TCM,1955,158,78,48
2025-05-06 8:10:15,0x301,BCM,537,105,105,28
2025-05-06 8:10:20,0x101,TCM,1760,96,76,82
2025-05-06 8:14:35,0x301,ECM,1738,29,107,20
2025-05-06 8:02:06,0x201,TCM,2975,13,70,61
